X,Y,OBJECTID,ADDRESS,NAME,ADDRID
-77.013487985547684,38.94585242071215,98,201 ALLISON ST NW,HITT MEMORIAL,284159
-77.036710783784343,38.927696132572414,99,16TH & MT PLEASANT ST NW,FRANCIS ASBURY (LUKEMAN),900578
-77.039763414130107,38.895293727297059,100,E & 17TH STS NW,ARMENIAN EARTHQUAKE (SOGOYAN),904501
-77.042083334924783,38.907311206972857,101,CONNECTICUT AVE & N ST NW,DOCTOR JOHN WITHERSPOON,903713
-76.989187923125854,38.889830781106866,102,13TH & EAST CAPITOL ST NE,EMANCIPATION MEMORIAL,903605
-77.039474698236845,38.888240648283954,103,INDEPENDENCE AVE & 17TH ST SW,JOHN PAUL JONES MEMORIAL,906965
-77.013118135977706,38.886153951810172,104,2ND ST AND WASHINGTON AVE SW,AMERICAN VETERANS DISABLED FOR LIFE MEMORIAL,904664
-76.998217764669334,38.886387027438865,105,NORTH CAROLINA AVE & 6TH ST SE,OLIVE RISLEY SEWARD (CAVANAUGH),903205
-77.04023738742238,38.905797663494845,106,RHODE ISLAND AVE & M ST NW,NUNS OF THE BATTLEFIELD,908214
-77.032431854959214,38.895883075516345,107,PENNSYLVANIA AVE & 14TH ST NW,JOHN J. PERSHING GENERAL OF THE ARMIES,902090
-77.042023268842499,38.893137408753205,108,18TH & C STREET NW,EQUESTRIAN OF SIMÓN BOLÍVAR,904540
-77.012673828897306,38.887147471329165,109,INDEPENDENCE AVE & 1ST ST SW,BARTHOLDI FOUNTAIN,900828
-77.050167624177305,38.886672379967912,110,23RD ST & OHIO DR SW,JOHN ERICSSON NATIONAL MEMORIAL,900036
-77.019317343558882,38.871965724031696,111,1ST AVE & P ST SW,"TITANIC MEMORIAL (WASHINGTON, D.C.)",902754
-77.048533201133978,38.895687883628163,112,VIRGINIA AVE & 22ND STREET NW,BERNARDO DE GÁLVEZ (STATUE),900000
-77.019536200277713,38.892334433052042,113,CONSTITUTION AVE & 6TH ST NW(PENN QUARTER),ANDREW W. MELLON MEMORIAL FOUNTAIN,906731
-76.999507884476756,38.893583768749828,114,4TH & C ST NE,MAJOR GENERAL NATHANAEL GREENE (BROWN),901225
-77.017487124661145,38.896665131379493,115,4TH & E ST NW,NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL,900823
-77.012084076932396,38.898526004715151,116,NEW JERSEY AVE & G ST NW,VICTIMS OF COMMUNISM MEMORIAL,903933
-77.02221737132767,38.893747435805707,117,PENNSYLVANIA AVE & 7TH ST NW,GENERAL WINFIELD SCOTT HANCOCK (ELLICOTT),901849
-77.027840522569377,38.894660320982418,118,12TH ST AND PENNSYLVANIA AVE NW,BENJAMIN FRANKLIN (JOUVENAL),902459
-77.046508774454935,38.916700887641525,119,CONNECTICUT AVE & CALIFORNIA ST NW,MAJOR GENERAL GEORGE B. MCCLELLAN,900380
-77.062900898346442,38.904356065506654,120,WISCONSIN AVE & M STREET NW,CHESAPEAKE AND OHIO CANAL COMMEMORATIVE OBELISK,905660
-76.990244500023437,38.889813086169603,121,12TH & EAST CAPITOL ST NE,MARY MCLEOD BETHUNE MEMORIAL,900293
-77.036195486544912,38.931396827757858,122,16TH ST & PARK RD NW,JAMES CARDINAL GIBBONS MEMORIAL STATUE,904050
-77.027441354777594,38.903888536288513,123,MASSACHUSETTS AVE & 11TH ST NW,EDMUND BURKE (THOMAS),900386
-77.010477493517257,38.894523515884003,124,NEW JERSEY AVE & D ST NW,MEMORIAL TO JAPANESE-AMERICAN PATRIOTISM IN WORLD WAR II,900806
-77.025965555227714,38.916541826079019,125,10TH ST & U ST NW,AFRICAN AMERICAN CIVIL WAR MEMORIAL,903437
